City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Vanimo,PG,79.52,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
159,Taoudenni,ML,62.98,scattered clouds,22.6783,-3.9836,
160,Phultala,BD,77.2,clear sky,22.7,89.5167,কিসমত ফুলতলা
161,Khair,IN,71.76,clear sky,27.95,77.8333,मुंबई चौपाटी
163,La Asuncion,VE,74.82,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
165,Rio Grande,BR,75.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
166,Barstow,US,61.54,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
169,Formosa,AR,73.38,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
171,Mayo,US,55.81,clear sky,38.8876,-76.5119,Resorts Resource Group International
172,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
173,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
175,Presidencia Roque Saenz Pena,AR,72.57,scattered clouds,-26.7852,-60.4388,Hotel Gualok
176,Cayenne,GF,75.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
177,Pacific Grove,US,61.16,clear sky,36.6177,-121.9166,Lovers Point Inn
178,Rajgarh,IN,75.43,clear sky,28.6333,75.3833,Nand Plaza Hotel & Bar
180,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
181,Atambua,ID,78.75,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
182,Bereda,ES,49.41,broken clouds,43.2686,-7.5406,Pazo de Verdes
184,Filingue,NE,76.57,clear sky,14.3521,3.3168,
186,Springbok,ZA,73.02,light rain,-29.6643,17.8865,Undulata Country Lodge
188,Port Hawkesbury,CA,43.18,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
189,Neropolis,BR,67.08,overcast clouds,-16.4064,-49.2186,Pousada Recanto do Cerrado
190,Inirida,CO,72.18,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
191,Fereydun Kenar,IR,50.92,scattered clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
194,Skibbereen,IE,48.0,overcast clouds,51.55,-9.2667,The West Cork Hotel
196,Bathsheba,BB,74.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
197,Lingao,CN,72.19,broken clouds,19.9103,109.6859,Lingao Ditai Inn
199,Ballina,AU,71.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
204,Tautira,PF,75.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
206,Porto Belo,BR,74.25,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
207,Makakilo City,US,72.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
208,Sitka,US,44.49,moderate rain,57.0531,-135.33,Westmark Sitka
210,Fortuna,US,49.12,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
213,Khumalag,RU,50.77,clear sky,43.2403,44.4752,Мини-отель Motel
215,Bodden Town,KY,77.94,clear sky,19.2833,-81.25,Will T Place
216,Graham,US,42.91,light intensity drizzle,47.0529,-122.2943,Moxie Meadows Hostel
219,Kamina,CD,78.19,broken clouds,-8.7386,24.9906,Guest House Florvia
222,Horsham,GB,45.12,scattered clouds,51.064,-0.3272,Springfields Hotel
223,Balsas,BR,70.66,scattered clouds,-7.5325,-46.0356,Novo Hotel
225,Praia Da Vitoria,PT,54.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
228,Xinpu,CN,44.74,overcast clouds,34.5997,119.1594,Pattaya Leisure Hotel
232,Tolaga Bay,NZ,75.11,broken clouds,-38.3667,178.3,Tolaga Bay Motel
233,Sisauli,IN,72.16,clear sky,29.4167,77.4667,Ch. Karan Singh
234,Tazmalt,DZ,50.2,overcast clouds,36.3868,4.3989,Hôtel Numédia
238,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
239,Camopi,GF,70.47,overcast clouds,3.1655,-52.3158,La pousada
240,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
241,Milos,GR,56.12,overcast clouds,36.75,24.4333,Ξενοδοχείο Αγνάντι
246,Constantine,DZ,45.81,scattered clouds,36.365,6.6147,Grand Hotel Cirta
252,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
257,Tianpeng,CN,48.45,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
258,Yashalta,RU,45.3,broken clouds,46.3395,42.2762,
261,Novyy Chirkey,RU,51.58,clear sky,43.162,47.0559,
262,Coihueco,CL,50.74,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
264,Farah,AF,59.02,clear sky,32.5,62.5,
265,Nantucket,US,51.26,clear sky,41.2835,-70.0995,Jared Coffin House
266,Lunsar,SL,77.32,overcast clouds,8.6833,-12.5333,C S E Compound
267,Koungheul,SN,72.86,clear sky,13.9833,-14.8,
268,Port Elizabeth,ZA,78.76,clear sky,-33.918,25.5701,39 On Nile Guest House
269,Laguna,US,63.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
270,Mbouda,CM,78.85,scattered clouds,5.6258,10.2552,Hôtel la Différence
272,Komsomolskiy,UZ,42.15,light rain,40.4272,71.7189,Ikathouse
274,Sao Gabriel Da Cachoeira,BR,70.77,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
275,Zhanaozen,KZ,42.6,overcast clouds,43.3,52.8,K.korabay 28A
277,Sabha,LY,56.3,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
282,Bellavista,PE,69.26,overcast clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
