City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Acapulco,MX,2022-02-02 23:32:45,16.8634,-99.8901,82.22,65,20,10.36
119,Ketchikan,US,2022-02-02 23:33:10,55.3422,-131.6461,37.38,100,100,3.44
120,Sabang,ID,2022-02-02 23:34:34,5.8933,95.3214,80.58,77,37,10.71
121,Sioux Lookout,CA,2022-02-02 23:34:34,50.1001,-91.917,-9.02,70,20,6.91
122,Bairiki,KI,2022-02-02 23:34:35,1.3292,172.9752,82.4,83,75,2.3
123,Haradok,BY,2022-02-02 23:34:35,55.4624,29.9816,22.93,97,100,4.16
124,Krasnoselkup,RU,2022-02-02 23:34:36,65.7,82.4667,-18.83,100,91,7.18
125,Dikson,RU,2022-02-02 23:34:36,73.5069,80.5464,-7.69,98,94,10.87
126,Asau,RO,2022-02-02 23:34:36,46.4333,26.4,22.28,87,89,6.02
127,Cherskiy,RU,2022-02-02 23:34:37,68.75,161.3,-15.75,68,60,1.88
128,Aracati,BR,2022-02-02 23:31:57,-4.5617,-37.7697,80.96,76,31,11.39
129,Oranjemund,NA,2022-02-02 23:34:37,-28.55,16.4333,67.44,86,100,4.47
130,The Valley,AI,2022-02-02 23:30:24,18.217,-63.0578,78.66,78,20,8.05
131,Vila Velha,BR,2022-02-02 23:32:48,-20.3297,-40.2925,78.94,84,0,4.61
132,Abong Mbang,CM,2022-02-02 23:34:38,3.9833,13.1833,67.8,64,45,3.42
133,Juan Aldama,MX,2022-02-02 23:34:39,24.2908,-103.3944,66.79,22,9,20.36
134,Ahipara,NZ,2022-02-02 23:34:39,-35.1667,173.1667,75.81,66,97,14.03
135,Hervey Bay,AU,2022-02-02 23:32:16,-25.2986,152.8535,85.03,77,98,11.99
136,Sinnai,IT,2022-02-02 23:34:40,39.3042,9.2036,51.48,77,0,9.22
137,Olafsvik,IS,2022-02-02 23:34:40,64.8945,-23.7142,29.71,49,93,1.77
138,Evensk,RU,2022-02-02 23:31:57,61.95,159.2333,20.26,42,100,19.93
139,Castro,BR,2022-02-02 23:34:41,-24.7911,-50.0119,65.95,93,48,6.64
140,Laguna,US,2022-02-02 23:34:51,38.421,-121.4238,63.05,27,0,8.01
141,Xuanhua,CN,2022-02-02 23:34:52,40.6103,115.0447,11.97,62,0,5.1
142,Santa Cruz,BO,2022-02-02 23:34:52,-17.8,-63.1667,84.25,70,40,11.5
143,Ucluelet,CA,2022-02-02 23:34:52,48.9329,-125.5528,42.1,90,100,5.91
144,Belyy Yar,RU,2022-02-02 23:34:53,53.6039,91.3903,-18.51,83,75,0.0
145,Dudinka,RU,2022-02-02 23:34:53,69.4058,86.1778,-10.39,100,97,5.46
146,Berlevag,NO,2022-02-02 23:34:54,70.8578,29.0864,26.85,66,100,13.27
147,Uyovu,TZ,2022-02-02 23:34:54,-3.2833,31.5258,62.01,97,91,2.06
148,Victoria,HK,2022-02-02 23:31:48,22.2855,114.1577,58.95,93,100,1.99
149,Ribeira Grande,PT,2022-02-02 23:32:01,38.5167,-28.7,59.58,74,10,8.28
150,Sibundoy,CO,2022-02-02 23:34:55,1.2048,-76.9237,60.46,97,84,0.76
151,Port-Gentil,GA,2022-02-02 23:34:55,-0.7193,8.7815,80.58,78,35,11.07
152,Krasnokamensk,RU,2022-02-02 23:34:56,50.0979,118.0369,-20.94,95,27,3.8
153,Bend,US,2022-02-02 23:31:41,44.0582,-121.3153,41.14,57,40,4.0
154,Charters Towers,AU,2022-02-02 23:34:56,-20.1,146.2667,84.63,66,100,11.52
155,Letka,RU,2022-02-02 23:34:57,59.6011,49.4232,20.34,94,100,7.49
156,Schmolln,DE,2022-02-02 23:34:57,50.9,12.3667,36.63,86,58,1.99
157,Saskylakh,RU,2022-02-02 23:34:57,71.9167,114.0833,-30.98,100,27,2.91
158,Sechura,PE,2022-02-02 23:34:58,-5.5569,-80.8222,75.79,62,18,17.31
159,Pedernales,DO,2022-02-02 23:34:58,18.0384,-71.744,77.25,77,12,8.52
160,Bongandanga,CD,2022-02-02 23:34:59,1.5,21.05,76.64,33,97,2.35
161,Tyrma,RU,2022-02-02 23:34:59,50.0833,132.1667,-17.45,99,94,0.72
162,Hobart,AU,2022-02-02 23:30:03,-42.8794,147.3294,60.66,54,75,13.8
163,Padang,ID,2022-02-02 23:35:00,-0.9492,100.3543,77.13,85,62,3.58
164,Bardiyah,LY,2022-02-02 23:35:00,31.7561,25.0865,52.11,72,88,14.97
165,Chokurdakh,RU,2022-02-02 23:35:01,70.6333,147.9167,-21.59,99,90,7.45
166,Aklavik,CA,2022-02-02 23:35:01,68.2191,-135.0107,-22.0,69,75,3.44
167,Pangkalanbuun,ID,2022-02-02 23:35:02,-2.6833,111.6167,73.99,96,100,0.81
168,Cabo San Lucas,MX,2022-02-02 23:35:02,22.8909,-109.9124,74.61,63,40,17.27
169,Mariental,NA,2022-02-02 23:35:02,-24.6333,17.9667,75.36,59,69,9.06
170,Svay Rieng,KH,2022-02-02 23:35:03,11.0879,105.7993,73.89,88,82,2.24
171,Vicar,ES,2022-02-02 23:35:03,36.8316,-2.6427,60.57,74,11,2.44
172,Lake Havasu City,US,2022-02-02 23:31:01,34.4839,-114.3224,55.4,11,0,18.99
173,Nikolskoye,RU,2022-02-02 23:35:04,59.7035,30.7861,21.09,99,98,1.21
174,Ponta Delgada,PT,2022-02-02 23:32:09,37.7333,-25.6667,58.5,77,20,5.75
175,Kuandian,CN,2022-02-02 23:35:05,40.7286,124.7847,9.82,66,0,2.01
176,Bonao,DO,2022-02-02 23:35:05,18.9369,-70.4092,76.98,98,31,1.41
177,Nouadhibou,MR,2022-02-02 23:35:06,20.931,-17.0347,73.38,49,1,17.27
178,Whakatane,NZ,2022-02-02 23:35:06,-37.9585,176.9854,72.77,71,100,9.89
179,Ulladulla,AU,2022-02-02 23:35:07,-35.35,150.4667,68.77,57,86,14.16
180,Mitu,CO,2022-02-02 23:35:07,1.1983,-70.1733,77.23,71,94,2.39
181,Saint-Pierre,RE,2022-02-02 23:35:08,-21.3393,55.4781,80.28,89,75,28.77
182,Carnarvon,AU,2022-02-02 23:35:08,-24.8667,113.6333,78.87,89,61,11.5
183,Chumikan,RU,2022-02-02 23:35:19,54.7183,135.315,-12.01,87,71,12.35
184,Korla,CN,2022-02-02 23:35:19,41.7597,86.1469,22.21,57,10,6.67
185,Cape Town,ZA,2022-02-02 23:34:50,-33.9258,18.4232,65.26,90,75,1.01
186,Rajapur,IN,2022-02-02 23:35:20,25.3833,81.15,54.18,72,0,9.17
187,Kyshtovka,RU,2022-02-02 23:35:20,56.555,76.6271,9.41,94,100,8.97
188,Kysyl-Syr,RU,2022-02-02 23:35:21,63.8986,122.7617,-14.66,98,100,4.9
189,Cidreira,BR,2022-02-02 23:35:21,-30.1811,-50.2056,75.6,85,1,19.62
190,Zhuhai,CN,2022-02-02 23:35:21,22.2769,113.5678,58.69,87,40,17.27
191,San Ramon,US,2022-02-02 23:35:22,37.7799,-121.978,62.89,25,0,3.0
192,Codrington,AU,2022-02-02 23:35:22,-38.2667,141.9667,60.03,62,91,14.43
193,Kutum,SD,2022-02-02 23:35:23,14.2,24.6667,62.89,23,33,10.13
194,Farmington,US,2022-02-02 23:35:23,36.7281,-108.2187,36.28,33,0,18.41
195,Arlit,NE,2022-02-02 23:34:29,18.7369,7.3853,62.28,16,0,15.48
196,Komsomolskiy,UZ,2022-02-02 23:35:24,40.4272,71.7189,36.32,87,100,2.3
197,Manduria,IT,2022-02-02 23:35:24,40.4018,17.6335,52.7,51,0,22.21
198,Ilulissat,GL,2022-02-02 23:35:24,69.2167,-51.1,-0.38,50,90,25.32
199,Manitouwadge,CA,2022-02-02 23:35:25,49.1215,-85.8403,2.12,89,93,7.09
200,Challapata,BO,2022-02-02 23:35:25,-18.9,-66.7667,53.53,62,87,3.27
201,San Pedro,PH,2022-02-02 23:35:26,14.35,121.0167,78.31,75,75,3.44
202,Qasigiannguit,GL,2022-02-02 23:35:26,68.8193,-51.1922,-0.15,65,71,11.52
