City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Kisanga,TZ,-7.4362,37.7034,82.76,75,100,2.82,light rain
132,Bambous Virieux,MU,-20.3428,57.7575,85.21,73,95,9.91,overcast clouds
133,Artyom,AZ,40.4723,50.333,51.94,77,41,19.42,scattered clouds
134,Leningradskiy,RU,69.3833,178.4167,-18.13,98,97,4.38,overcast clouds
135,Guerrero Negro,MX,27.9769,-114.0611,61.18,66,1,4.94,clear sky
136,Majene,ID,-3.5403,118.9707,77.72,87,100,10.02,moderate rain
137,Biggar,GB,55.6167,-3.5167,46.54,95,100,21.59,overcast clouds
138,Ambilobe,MG,-13.2,49.05,84.02,75,13,5.3,moderate rain
139,Amapa,BR,1.0,-52.0,71.55,98,100,3.13,overcast clouds
140,Ust-Maya,RU,60.4167,134.5333,-26.28,100,93,1.36,overcast clouds
141,Sambava,MG,-14.2667,50.1667,84.2,61,1,9.78,clear sky
142,Thompson,CA,55.7435,-97.8558,-16.69,96,100,3.69,overcast clouds
143,Provideniya,RU,64.3833,-173.3,-14.4,86,1,7.96,clear sky
144,Westport,US,41.1415,-73.3579,51.62,66,0,8.05,clear sky
145,La Romana,DO,18.4273,-68.9728,76.73,86,5,9.48,clear sky
146,Cherskiy,RU,68.75,161.3,-26.81,98,100,7.67,overcast clouds
147,Qaanaaq,GL,77.484,-69.3632,-22.05,48,0,7.83,clear sky
148,Yeppoon,AU,-23.1333,150.7333,78.58,70,1,16.02,clear sky
149,Kavieng,PG,-2.5744,150.7967,81.39,77,98,7.16,light rain
150,Kavali,IN,14.9167,79.9833,83.12,54,15,10.89,few clouds
151,Havelock,US,34.8791,-76.9013,57.92,91,19,5.03,few clouds
152,Port Blair,IN,11.6667,92.75,84.24,54,20,13.8,few clouds
153,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,68.32,96,78,2.13,broken clouds
154,Lavrentiya,RU,65.5833,-171.0,-23.76,93,29,6.96,scattered clouds
155,Bemidji,US,47.4736,-94.8803,-17.09,82,0,0.0,clear sky
156,Buenos Aires,AR,-34.6132,-58.3772,58.95,87,75,8.05,broken clouds
157,Huaibei,CN,33.9744,116.7917,49.86,44,100,5.88,light rain
158,Vanimo,PG,-2.6741,141.3028,79.52,85,100,7.76,overcast clouds
159,Taoudenni,ML,22.6783,-3.9836,62.98,24,28,12.19,scattered clouds
160,Phultala,BD,22.7,89.5167,77.2,26,6,9.93,clear sky
161,Khair,IN,27.95,77.8333,71.76,31,0,9.17,clear sky
162,Srednekolymsk,RU,67.45,153.6833,-31.32,98,25,7.18,scattered clouds
163,La Asuncion,VE,11.0333,-63.8628,74.82,83,46,16.49,scattered clouds
164,Vao,NC,-22.6667,167.4833,80.62,83,100,7.47,overcast clouds
165,Rio Grande,BR,-32.035,-52.0986,75.31,86,61,12.93,broken clouds
166,Barstow,US,34.8986,-117.0228,61.54,26,0,1.95,clear sky
167,Borovoy,RU,55.4333,86.0833,16.88,35,0,0.0,clear sky
168,Tual,ID,-5.6667,132.75,83.68,67,44,3.29,scattered clouds
169,Formosa,AR,-26.1775,-58.1781,73.38,83,0,9.22,clear sky
170,Magadan,RU,59.5667,150.8,-2.88,82,96,5.39,overcast clouds
171,Mayo,US,38.8876,-76.5119,55.81,47,0,9.22,clear sky
172,Vila Do Maio,CV,15.1333,-23.2167,74.19,73,94,19.57,overcast clouds
173,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,4.61,broken clouds
174,Belaya Gora,RU,68.5333,146.4167,-24.99,94,100,5.75,overcast clouds
175,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.57,61,42,10.85,scattered clouds
176,Cayenne,GF,4.9333,-52.3333,75.09,91,75,3.44,broken clouds
177,Pacific Grove,US,36.6177,-121.9166,61.16,67,0,4.61,clear sky
178,Rajgarh,IN,28.6333,75.3833,75.43,16,0,9.62,clear sky
179,Klyuchi,RU,52.2667,79.1667,14.56,86,42,12.95,scattered clouds
180,Puerto Ayora,EC,-0.7393,-90.3518,71.55,97,100,7.38,overcast clouds
181,Atambua,ID,-9.1061,124.8925,78.75,84,92,1.5,overcast clouds
182,Bereda,ES,43.2686,-7.5406,49.41,100,67,1.52,broken clouds
183,Fare,PF,-16.7,-151.0167,81.46,72,66,14.61,broken clouds
184,Filingue,NE,14.3521,3.3168,76.57,10,1,17.45,clear sky
185,Mandera,KE,3.9366,41.867,89.96,23,79,11.92,broken clouds
186,Springbok,ZA,-29.6643,17.8865,73.02,46,100,4.81,light rain
187,Zhezkazgan,KZ,47.8043,67.7144,24.78,86,100,24.61,overcast clouds
188,Port Hawkesbury,CA,45.6169,-61.3485,43.18,95,98,5.01,overcast clouds
189,Neropolis,BR,-16.4064,-49.2186,67.08,98,93,2.82,overcast clouds
190,Inirida,CO,3.8653,-67.9239,72.18,91,100,0.29,overcast clouds
191,Fereydun Kenar,IR,36.6864,52.5225,50.92,71,25,7.78,scattered clouds
192,Saint-Francois,FR,46.4154,3.9054,34.68,88,0,2.3,clear sky
193,Koppang,NO,61.5706,11.0555,21.22,88,100,2.04,overcast clouds
194,Skibbereen,IE,51.55,-9.2667,48.0,87,100,19.84,overcast clouds
195,Baykit,RU,61.67,96.37,3.61,94,6,1.23,clear sky
196,Bathsheba,BB,13.2167,-59.5167,74.01,83,40,14.97,scattered clouds
197,Lingao,CN,19.9103,109.6859,72.19,72,74,18.88,broken clouds
198,Pevek,RU,69.7008,170.3133,-29.63,99,89,6.98,overcast clouds
199,Ballina,AU,-28.8667,153.5667,71.78,84,87,18.77,overcast clouds
200,Saint-Philippe,RE,-21.3585,55.7679,86.11,66,31,11.5,scattered clouds
201,Pavlodar,KZ,52.3,76.95,3.0,78,0,15.66,clear sky
202,Watsa,CD,3.0372,29.5355,88.48,19,69,6.91,broken clouds
203,Grindavik,IS,63.8424,-22.4338,25.27,74,0,18.41,clear sky
204,Tautira,PF,-17.7333,-149.15,75.22,74,100,13.29,overcast clouds
205,Mahebourg,MU,-20.4081,57.7,85.24,74,92,9.75,light rain
206,Porto Belo,BR,-27.1578,-48.5531,74.25,80,19,3.33,few clouds
207,Makakilo City,US,21.3469,-158.0858,72.28,72,0,4.61,clear sky
208,Sitka,US,57.0531,-135.33,44.49,87,100,5.75,moderate rain
209,Manturovo,RU,58.3353,44.7619,27.73,88,100,8.52,overcast clouds
